symbol,side,size_usd,entry,opened_ts,actual_pnl,actual_status,cf_pnl,cf_status,cf_legs,delta,tp1_taken,tp1,tp2,error,source
SKHY/USDT:USDT,short,100.0,189.47,2026-09-09T13:31:26.670514+00:00,-1.91587059,sl_hit,-3.298675,sl_hit,sl_hit@195.72(-3.30),-1.3828044099999999,False,187.90571428571428,186.86285714285714,,paper
DOGE/USDT:USDT,short,100.0,0.09127,2026-09-09T13:45:21.580791+00:00,2.28677863,trailing_hit,1.34765,tp2_hit,tp2_hit@0.09004(+1.35),-0.9391286300000001,False,0.090585475,0.090129125,,hub_demo
MSTR/USDT:USDT,long,100.0,136.56,2026-09-09T14:01:31.476222+00:00,-2.39455185,sl_hit,-1.750146,sl_hit,sl_hit@134.17(-1.75),0.6444058500000001,False,138.33642857142857,139.5207142857143,,paper
NEAR/USDT:USDT,short,100.0,2.6181,2026-09-09T19:30:02.362976+00:00,1.78864717,trailing_hit,1.78864717,trailing_hit,same_bar_keep_actual(339s),0.0,False,,,,hub_demo
XAG/USDT:USDT,short,100.0,67.2,2026-09-09T13:20:07.412654+00:00,-0.47619048,trailing_hit,-0.238095,sl_hit,sl_hit@67.36(-0.24),0.23809548000000003,False,66.696,66.36,,hub_demo
PEPE/USDT:USDT,long,100.0,3.5569e-06,2026-09-09T15:24:03.189075+00:00,-2.10014338,sl_hit,1.233267,trailing_hit,tp1_hit@3.61181e-06(+0.77)+trailing_hit@3.58972e-06(+0.46),3.33341038,True,3.6118107142857144e-06,3.648417857142857e-06,,paper
LINK/USDT:USDT,long,100.0,11.925,2026-09-09T16:31:19.951614+00:00,-1.87840671,sl_hit,-0.679245,sl_hit,sl_hit@11.844(-0.68),1.1991617099999998,False,12.077250000000001,12.17875,,paper
ADA/USDT:USDT,long,100.0,0.2151,2026-09-09T15:12:18.622428+00:00,-2.69642027,sl_hit,-0.09298,sl_hit,sl_hit@0.2149(-0.09),2.60344027,False,0.21772500000000003,0.21947500000000003,,paper
XRP/USDT:USDT,long,100.0,1.4062,2026-09-09T15:22:38.998321+00:00,-1.16626369,sl_hit,0.792917,trailing_hit,tp1_hit@1.41891(+0.45)+trailing_hit@1.41579(+0.34),1.9591806900000002,True,1.4189071428571427,1.4273785714285714,,paper
ETH/USDT:USDT,long,100.0,2478.53,2026-09-09T16:31:13.221206+00:00,-0.57856875,trailing_hit,-0.566061,sl_hit,sl_hit@2464.5(-0.57),0.012507749999999929,False,2500.0710714285715,2514.431785714286,,hub_demo
KORU/USDT:USDT,long,100.0,23.649,2026-09-10T00:56:58.960537+00:00,-1.92819992,sl_hit,-1.957799,sl_hit,sl_hit@23.186(-1.96),-0.02959908000000011,False,23.997107142857143,24.229178571428573,,hub_demo
NVDA/USDT:USDT,long,100.0,223.81,2026-09-09T21:15:19.165596+00:00,0.0,trailing_hit,-0.536169,sl_hit,sl_hit@222.61(-0.54),-0.536169,False,225.488575,226.607625,,hub_demo
DOGE/USDT:USDT,long,100.0,0.08631,2026-09-09T21:30:48.754742+00:00,0.0,trailing_hit,-0.776272,sl_hit,sl_hit@0.08564(-0.78),-0.776272,False,0.08716285714285714,0.08773142857142857,,hub_demo
TSLA/USDT:USDT,long,100.0,367.57,2026-09-09T22:01:06.925661+00:00,0.0,trailing_hit,-0.522349,sl_hit,sl_hit@365.65(-0.52),-0.522349,False,370.326775,372.164625,,hub_demo
HYPE/USDT:USDT,long,100.0,83.164,2026-09-09T23:15:50.563000+00:00,0.0,trailing_hit,1.034788,trailing_hit,tp1_hit@84.1729(+0.61)+trailing_hit@83.8763(+0.43),1.034788,True,84.17285714285714,84.84542857142857,,hub_demo
XAU/USDT:USDT,long,100.0,4399.05,2026-09-09T23:32:58.370528+00:00,0.0,trailing_hit,0.586999,trailing_hit,tp1_hit@4432.35(+0.38)+trailing_hit@4417.39(+0.21),0.586999,True,4432.042875,4454.038125,,paper
BTC/USDT:USDT,long,100.0,77830.1,2026-09-09T23:15:46.544919+00:00,0.0,trailing_hit,0.43664,trailing_hit,tp1_hit@78413.8(+0.38)+trailing_hit@77926(+0.06),0.43664,True,78413.82575,78802.97625,,paper
SNDK/USDT:USDT,long,100.0,1740.21,2026-09-10T02:31:08.981878+00:00,0.0,trailing_hit,1.107413,tp2_hit,tp1_hit@1757(+0.48)+tp2_hit@1761.96(+0.62),1.107413,True,1753.261575,1761.9626250000001,,paper
